RMSE,MAE,MAPE,R2,Pearson_r,site,source,test_year,context_steps,dominant_pft,pft_purity,region,n_pixels_done
0.24564383104337117,0.1789823891595006,42.62504007109147,-0.008307296760424743,0.4908709318400704,g001_shrubs_nd,ERA5-cloud,2022,202,SHRUBS-ND,0.6,Other,1
0.16082509103603215,0.12914811394044332,48.47938507222192,-0.03670411681347563,0.7670418355830062,g002_grass_nat,ERA5-cloud,2022,270,GRASS-NAT,0.6,Siberia / Boreal Eurasia,2
1.0744263743516071,0.8279460057616234,72.07778438439759,0.013424419745398763,0.2971982626723822,g003_grass_man,ERA5-cloud,2022,238,GRASS-MAN,1.0,Other,3
0.4994773021481817,0.39959168434143066,116.98586159376806,0.22256532731508794,0.5188820630985697,g004_grass_nat,ERA5-cloud,2022,325,GRASS-NAT,0.5348837209302325,Siberia / Boreal Eurasia,4
0.19104972238056195,0.1543185548747287,32.13667784245661,0.8706974904563757,0.9560140419686484,g005_grass_nat,ERA5-cloud,2022,369,GRASS-NAT,0.55,Siberia / Boreal Eurasia,5
1.1491039212532848,0.8543816115707159,70.55795776946685,0.013878574767922647,0.39524209102682795,g006_trees_ne,ERA5-cloud,2022,266,TREES-NE,0.51,Siberia / Boreal Eurasia,6
0.2691762518631846,0.20318305864930153,33.41441137582903,-0.7064121144024325,0.16890975167522268,g007_shrubs_ne,ERA5-cloud,2022,394,SHRUBS-NE,0.6,Other,7
0.2254156559772795,0.17648436207520335,32.97960717074487,0.7577494545237513,0.8911050559133106,g008_grass_nat,ERA5-cloud,2022,424,GRASS-NAT,0.78,Siberia / Boreal Eurasia,8
0.14229244845726438,0.11163165810562316,18.802011188602915,0.8024559911660318,0.9095682542486284,g009_grass_nat,ERA5-cloud,2022,451,GRASS-NAT,0.7407407407407408,Canada,9
0.38455564978485257,0.28263136046007276,39.72437212066389,0.5358256365792489,0.7534404807713267,g010_shrubs_nd,ERA5-cloud,2022,320,SHRUBS-ND,0.7594936708860759,Siberia / Boreal Eurasia,10
0.2606824608296772,0.19066642364487052,35.89157819379381,0.7027243971296332,0.8679536335755224,g011_shrubs_ne,ERA5-cloud,2022,343,SHRUBS-NE,0.6,Canada,11
1.6648693638616425,1.0986794163199032,49.216037768276585,0.37491433874976543,0.6579873583782124,g012_trees_ne,ERA5-cloud,2022,452,TREES-NE,1.0,Western Europe,12
1.3907496070309346,0.9482395539158269,87.64833829224212,0.4730816693290354,0.7204325963906654,g013_grass_nat,ERA5-cloud,2022,491,GRASS-NAT,0.51,Eastern Europe,13
0.6189394452114592,0.4458835969368617,36.09864489663943,0.7925039131746379,0.8974536632247633,g014_trees_ne,ERA5-cloud,2022,472,TREES-NE,0.75,Siberia / Boreal Eurasia,14
0.8085066183062853,0.6555925215545454,59.88988160311502,-0.24619535534623882,0.8492478791501842,g015_trees_nd,ERA5-cloud,2022,467,TREES-ND,0.67,Siberia / Boreal Eurasia,15
0.4348322697497792,0.34314421920672705,39.97180870791192,0.43214006872587507,0.6696473237743819,g016_grass_nat,ERA5-cloud,2022,505,GRASS-NAT,0.61,Siberia / Boreal Eurasia,16
1.3789246166222107,1.02649406738141,147.1231529893271,0.3742579398944319,0.621516464717368,g017_shrubs_nd,ERA5-cloud,2022,440,SHRUBS-ND,0.6,Siberia / Boreal Eurasia,17
1.3742865325619704,1.0253395239512126,156.9116572260439,0.03143258544365701,0.45347058585876926,g018_trees_bd,ERA5-cloud,2022,411,TREES-BD,0.75,Siberia / Boreal Eurasia,18
1.1822722493739852,0.719993801911672,42.81434624888133,0.6366876203943077,0.8114328328990139,g019_trees_bd,ERA5-cloud,2022,626,TREES-BD,0.87,Canada,19
0.7665364375656678,0.5405750224987665,39.27045751652465,0.5866614453082887,0.7660633176556656,g020_trees_ne,ERA5-cloud,2022,516,TREES-NE,0.87,Canada,20
0.7860684306442243,0.5843728594481945,102.59102512324962,0.703311150565795,0.844568621048592,g021_trees_bd,ERA5-cloud,2022,581,TREES-BD,0.74,Other,21
0.45457391704977834,0.32365710313121476,43.239064127372494,0.351194171197613,0.9013455589780613,g022_grass_man,ERA5-cloud,2022,621,GRASS-MAN,0.75,Other,22
0.6382501790450862,0.4908309306949377,46.9306571804671,-0.27990984577740297,0.6820107624295031,g023_grass_nat,ERA5-cloud,2022,504,GRASS-NAT,0.82,Canada,23
0.21799981962091358,0.15527434583221164,29.247354225950552,0.7829351163550496,0.8855271412839327,g024_trees_ne,ERA5-cloud,2022,747,TREES-NE,0.78,Western Europe,24
0.6662491978213515,0.4302719967705863,100.8383744889208,0.6970444594942627,0.8583315122633072,g025_grass_nat,ERA5-cloud,2022,688,GRASS-NAT,0.56,Canada,25
0.12417874831232084,0.09374343816723142,29.87293893481226,0.6887341996410867,0.8593077213951423,g026_grass_nat,ERA5-cloud,2022,682,GRASS-NAT,0.84,East Asia,26
0.4711333288542199,0.341125190809921,50.20643808791178,0.633540943686476,0.7979048672521081,g027_grass_nat,ERA5-cloud,2022,549,GRASS-NAT,0.84,East Asia,27
0.6019839431860146,0.4584395953764518,59.14993079634534,0.6014777258363991,0.7964316360053869,g028_shrubs_ne,ERA5-cloud,2022,670,SHRUBS-NE,0.9,Canada,28
1.4207130275996318,1.0852919255985933,68.51231302740884,0.10608388410118574,0.4806526421997543,g029_trees_bd,ERA5-cloud,2022,678,TREES-BD,0.51,Western Europe,29
0.9452675931909879,0.5458527845005656,41.158888470159894,0.5964369963984395,0.7985451893426767,g030_grass_nat,ERA5-cloud,2022,910,GRASS-NAT,0.84,Western Europe,30
1.2540927199306149,0.6447121867979014,84.01971553062785,0.5966658678493408,0.8239665232481611,g031_grass_nat,ERA5-cloud,2022,651,GRASS-NAT,0.67,East Asia,31
0.2560194918845247,0.19130532575978174,20.53107320113976,0.9164406977534142,0.9604556024482347,g032_shrubs_bd,ERA5-cloud,2022,988,SHRUBS-BD,0.53,Mediterranean,32
0.4302128485415783,0.25669409367773266,43.08400748590978,0.6005783927406407,0.9029678016727091,g033_grass_nat,ERA5-cloud,2022,988,GRASS-NAT,0.88,East Asia,33
0.5809069064014648,0.3984625882572598,28.218022581285396,0.43375706010210735,0.6666050519666924,g034_grass_man,ERA5-cloud,2022,988,GRASS-MAN,0.49,East Asia,34
0.3982458187662518,0.30510674450885167,46.52932362222994,0.7244985787950577,0.8846486499115511,g035_grass_man,ERA5-cloud,2022,967,GRASS-MAN,0.72,East Asia,35
0.8433319201608203,0.6644867310034377,109.46592646400224,0.3552111098263415,0.5979528220700701,g036_trees_ne,ERA5-cloud,2022,736,TREES-NE,0.5,East Asia,36
0.42606034247514596,0.3354623337231931,58.47026815958818,0.2801097982647307,0.6585050675848632,g037_trees_be,ERA5-cloud,2022,956,TREES-BE,0.76,Other,37
1.2906731881708922,0.8494496407179997,79.59261790664986,0.18451581553485374,0.46827521225819885,g038_grass_nat,ERA5-cloud,2022,751,GRASS-NAT,0.72,South Asia,38
0.6056605561832864,0.428618460893631,8.02930051504765,-0.00588749573710734,0.23908240856276688,g039_trees_be,ERA5-cloud,2022,666,TREES-BE,0.78,East Asia,39
0.8667947260860521,0.6177176088094711,13.472271066730421,0.04648192735343526,0.4137158168871491,g040_trees_be,ERA5-cloud,2022,734,TREES-BE,1.0,Other,40
0.2820552083729304,0.21332842111587524,19.27161729326493,0.5075339758960208,0.799154099100922,g042_grass_nat,ERA5-cloud,2022,997,GRASS-NAT,0.84,Other,41
1.2231907425677642,0.9062327427022597,47.96411858960894,-0.17092868108982007,0.2273071045231868,g043_grass_man,ERA5-cloud,2022,704,GRASS-MAN,0.49,Other,42
0.39933821615213994,0.22847047988325359,44.585756842138466,0.4761136446324259,0.7106612826109544,g044_grass_man,ERA5-cloud,2022,934,GRASS-MAN,0.88,Other,43
0.5397998014498903,0.2799249376085671,47.75554910505254,0.546480639041129,0.7402008615039297,g045_grass_nat,ERA5-cloud,2022,981,GRASS-NAT,0.51,East Africa / Sahel,44
0.6172458410266792,0.48217443428760354,58.116601925607235,0.21291701282572284,0.4637122478776241,g046_grass_man,ERA5-cloud,2022,970,GRASS-MAN,0.75,Southeast Asia,45
0.5504084170641914,0.41490219888233004,34.45664859486301,0.24087277778075222,0.6218904207979108,g047_trees_bd,ERA5-cloud,2022,916,TREES-BD,0.49,Other,46
0.5685186316387884,0.3582980570405029,34.59593437311416,0.6789293523530602,0.8447868017570455,g048_shrubs_bd,ERA5-cloud,2022,949,SHRUBS-BD,0.68,East Africa / Sahel,47
1.2696233117688311,0.8373696476221084,40.931510682128504,0.03005992787487677,0.2587917221595728,g049_trees_be,ERA5-cloud,2022,872,TREES-BE,0.56,Amazon / Tropical S. America,48
1.4355573893040203,1.0684299107108797,120.74236440175696,0.020653451361962283,0.2280949292186713,g050_grass_nat,ERA5-cloud,2022,924,GRASS-NAT,0.69,South Asia,49
0.6784632679471899,0.440879322249781,51.3017022430453,0.3777607610217415,0.7246851684815685,g051_shrubs_bd,ERA5-cloud,2022,958,SHRUBS-BD,1.0,East Africa / Sahel,50
3.502660655844152,2.5471719428896904,433.8902437652888,-0.9340192219980965,-0.49508591890450504,g052_grass_nat,ERA5-cloud,2022,381,GRASS-NAT,0.58,Amazon / Tropical S. America,51
2.248560109116804,1.861628595325682,100.53978239223457,-0.427694853270979,-0.04272388343398403,g053_trees_be,ERA5-cloud,2022,328,TREES-BE,0.51,Other,52
1.2561861769390616,0.8796235298117002,34.010789598807904,0.300198489902038,0.6510461872073541,g054_trees_be,ERA5-cloud,2022,636,TREES-BE,0.64,Southeast Asia,53
0.5250493490839723,0.2861468873240731,34.88473776923607,0.18790275078986618,0.46989260466703753,g055_shrubs_bd,ERA5-cloud,2022,993,SHRUBS-BD,0.83,East Africa / Sahel,54
1.9260517043032401,1.487495659754194,111.22828361173636,-0.15414439265448499,0.21201396133404918,g056_trees_bd,ERA5-cloud,2022,782,TREES-BD,1.0,Other,55
0.2937568188875247,0.24171960949897767,29.891092483581826,-0.592921163190743,0.25365549839539325,g057_grass_man,ERA5-cloud,2022,999,GRASS-MAN,0.88,East Africa / Sahel,56
0.9080459664129396,0.6566509494388645,119.77709899065643,-0.5379583919388853,0.5341261072223396,g058_shrubs_be,ERA5-cloud,2022,955,SHRUBS-BE,1.0,Other,57
0.43375243616253545,0.30565751818093384,37.91194867833612,0.7110205060475947,0.863390738933201,g059_grass_man,ERA5-cloud,2022,967,GRASS-MAN,0.49,Central/Southern Africa,58
0.540282163232828,0.36323655206103656,28.681786839390107,0.23022991214583022,0.48181329892288743,g060_shrubs_be,ERA5-cloud,2022,926,SHRUBS-BE,0.74,Amazon / Tropical S. America,59
0.3869001634513122,0.3050233093755586,31.91295407328602,0.19917441249682044,0.47132988671893566,g061_grass_nat,ERA5-cloud,2022,989,GRASS-NAT,0.73,Amazon / Tropical S. America,60
