,RMSE,MAE,MAPE,R2,Pearson_r
mean,0.2141488806234251,0.15734525942158628,38.71847062919769,0.7163199262553759,0.8971045481813221
median,0.19438156452786914,0.14254791107442638,22.313222005776183,0.8897091911743982,0.9568726800166745
std,0.12178862788284119,0.08777908201197404,90.982790240235,0.3663385274003905,0.13515344909869104
min,0.0432456917553499,0.0328578882747226,7.066501082001253,-0.6668393544661435,0.1630775561885283
max,0.6553412998037684,0.4885522034433153,774.3685941827864,0.9869095719649592,0.9935449812630268
