RMSE,MAE,MAPE,R2,Pearson_r,site,source,test_year,context_steps,dominant_pft,pft_purity,region,n_pixels_done
0.0256019532750935,0.0191305390662617,20.53108003438376,0.9164406703673846,0.9604555929467622,g032_shrubs_bd,ERA5-cloud,2022,988,SHRUBS-BD,0.53,Mediterranean,32
0.0144750845817158,0.0099503311845991,26.043117568625902,0.879269762597559,0.9585123694516776,g065_shrubs_bd,ERA5-cloud,2022,1000,SHRUBS-BD,0.68,Central/Southern Africa,64
0.0191049762749321,0.0154318610096679,32.13668627186945,0.8706974345519903,0.9560140263039644,g005_grass_nat,ERA5-cloud,2022,369,GRASS-NAT,0.55,Siberia / Boreal Eurasia,5
0.0142292421666821,0.0111631639301776,18.802010319266262,0.8024560640803273,0.9095682601263646,g009_grass_nat,ERA5-cloud,2022,451,GRASS-NAT,0.7407407407407408,Canada,9
0.0618939366690495,0.0445883541057507,36.09863761660757,0.7925039737037619,0.8974536941534738,g014_trees_ne,ERA5-cloud,2022,472,TREES-NE,0.75,Siberia / Boreal Eurasia,14
0.0217999819214949,0.0155274340616805,29.247351723552264,0.7829351157735688,0.8855271429552344,g024_trees_ne,ERA5-cloud,2022,747,TREES-NE,0.78,Western Europe,24
0.0225415680789765,0.017648438579942,32.97960578363479,0.7577494084556107,0.8911050407724016,g008_grass_nat,ERA5-cloud,2022,424,GRASS-NAT,0.78,Siberia / Boreal Eurasia,8
0.039824581808961,0.0305106738497587,46.529327815672985,0.7244985834756973,0.8846486605737374,g035_grass_man,ERA5-cloud,2022,967,GRASS-MAN,0.72,East Asia,35
0.0433752407943755,0.0305657509968362,37.91194781209262,0.7110205429507868,0.8633907590052928,g059_grass_man,ERA5-cloud,2022,967,GRASS-MAN,0.49,Central/Southern Africa,58
0.0249554249489517,0.0188947457142851,46.99228982011351,0.7081504267649894,0.8551785737974062,g068_grass_nat,ERA5-cloud,2022,971,GRASS-NAT,0.44,Southern S. America,67
0.0786068349047339,0.0584372775629162,102.5910182145752,0.7033112040886611,0.8445686527823221,g021_trees_bd,ERA5-cloud,2022,581,TREES-BD,0.74,Other,21
0.0260682424182141,0.0190666409907862,35.89156848888243,0.7027244814477038,0.8679536690510089,g011_shrubs_ne,ERA5-cloud,2022,343,SHRUBS-NE,0.6,Canada,11
0.0666249128393868,0.043027195281216,100.8383599020278,0.6970445297808658,0.8583315544261432,g025_grass_nat,ERA5-cloud,2022,688,GRASS-NAT,0.56,Canada,25
0.0124178740058927,0.0093743437901139,29.8729360335643,0.6887342579385334,0.8593077152724324,g026_grass_nat,ERA5-cloud,2022,682,GRASS-NAT,0.84,East Asia,26
0.0568518584557277,0.0358298071768394,34.595934314465524,0.6789294015470015,0.8447868007348953,g048_shrubs_bd,ERA5-cloud,2022,949,SHRUBS-BD,0.68,East Africa / Sahel,47
0.1182272147035246,0.0719993768880764,42.814340902562506,0.6366876842273232,0.811432867177786,g019_trees_bd,ERA5-cloud,2022,626,TREES-BD,0.87,Canada,19
0.0471133283266552,0.034112516514681,50.206440727346816,0.633540998666609,0.7979049011544027,g027_grass_nat,ERA5-cloud,2022,549,GRASS-NAT,0.84,East Asia,27
0.0601984007900201,0.0458439635630283,59.14992931304644,0.6014776547379875,0.7964315943264093,g028_shrubs_ne,ERA5-cloud,2022,670,SHRUBS-NE,0.9,Canada,28
0.0430212813564748,0.0256694063958194,43.08399448520424,0.6005784731960832,0.9029677974188428,g033_grass_nat,ERA5-cloud,2022,988,GRASS-NAT,0.88,East Asia,33
0.1254092726578215,0.064471221908375,84.01971955705193,0.5966658666454687,0.8239665063956975,g031_grass_nat,ERA5-cloud,2022,651,GRASS-NAT,0.67,East Asia,31
0.094526767187408,0.0545852863511373,41.15889574672635,0.5964369340037944,0.798545166785231,g030_grass_nat,ERA5-cloud,2022,910,GRASS-NAT,0.84,Western Europe,30
0.07665363820717,0.0540575000147024,39.270459521939,0.5866614927198364,0.7660633456533927,g020_trees_ne,ERA5-cloud,2022,516,TREES-NE,0.87,Canada,20
0.0539799703904248,0.0279924927956678,47.755546690051695,0.5464808265091459,0.7402009741687298,g045_grass_nat,ERA5-cloud,2022,981,GRASS-NAT,0.51,East Africa / Sahel,44
0.0384555702814245,0.0282631426816806,39.72438089727023,0.535825503431222,0.7534404129067579,g010_shrubs_nd,ERA5-cloud,2022,320,SHRUBS-ND,0.7594936708860759,Siberia / Boreal Eurasia,10
0.0282055213358408,0.0213328420438549,19.271617112540948,0.5075339459524328,0.7991540701377349,g042_grass_nat,ERA5-cloud,2022,997,GRASS-NAT,0.84,Other,41
