region,count,mean,median
Midwest,10,0.9521590061894377,0.9531236014285022
Northeast,4,0.9420939548169555,0.9385763659808821
Northern Rockies / Great Basin,4,0.9056901217659739,0.9086281448976317
Pacific Northwest,12,0.7841621367170849,0.8485675895638329
California,4,0.7501533708450238,0.8027712306361106
Southeast,6,0.7390930801779216,0.7983097114833428
Great Plains,21,0.6776787694566156,0.8925172003686525
Other,6,0.2660876308250679,0.3379865388779457
Southwest,3,0.18559030701941207,0.3187473448995527
